_id,AnnoA,AteneoCOD,AteneoNOME,Isc_S
286,2018/2019,1503,Milano Bocconi,2267
287,2018/2019,1504,Milano Cattolica,2165
288,2018/2019,1505,Milano IULM,254
289,2018/2019,1508,Milano San Raffaele,157
290,2018/2019,1509,Milano Bicocca,1880
291,2018/2019,1510,Rozzano (MI) Humanitas University,238
292,2018/2019,1601,Bergamo,1300
293,2018/2019,1701,Brescia,999
294,2018/2019,1801,Pavia,1968
295,2018/2019,2101,Bolzano,536
296,2018/2019,2201,Trento,727
297,2018/2019,2301,Verona,1103
298,2018/2019,2701,Venezia Cà Foscari,1390
299,2018/2019,2702,Venezia Iuav,282
300,2018/2019,2801,Padova,2870
301,2018/2019,3001,Udine,811
302,2018/2019,3201,Trieste,1156
303,2018/2019,3401,Parma,1694
304,2018/2019,3601,Modena e Reggio Emilia,1392
305,2018/2019,3701,Bologna,6869
306,2018/2019,3801,Ferrara,1052
307,2018/2019,4101,Urbino,872
308,2018/2019,4201,Marche,695
309,2018/2019,4301,Macerata,450
310,2018/2019,4302,Camerino,655
311,2018/2019,4801,Firenze,3984
312,2018/2019,4804,Firenze IUL - telematica,2
313,2018/2019,5001,Pisa,1798
314,2018/2019,5201,Siena,1403
315,2018/2019,5202,Siena Stranieri,245
316,2018/2019,5401,Perugia,1394
317,2018/2019,5403,Perugia Stranieri,385
318,2018/2019,5601,Tuscia,251
319,2018/2019,5801,Roma La Sapienza,7630
320,2018/2019,5802,Roma Tor Vergata,2204
321,2018/2019,5803,Roma LUMSA,236
322,2018/2019,5805,Roma LUISS,253
323,2018/2019,5806,Roma Foro Italico,54
324,2018/2019,5807,Roma Tre,1518
325,2018/2019,5808,Roma Biomedico,13
326,2018/2019,5809,Roma UNINT,61
327,2018/2019,5810,Roma Marconi - telematica,169
328,2018/2019,5811,Roma UNITELMA - telematica,39
329,2018/2019,5812,Roma Europea,24
330,2018/2019,5813,Roma UNINETTUNO - telematica,565
331,2018/2019,5814,Roma  Mercatorum - telematica,60
332,2018/2019,5815,Roma UNICUSANO - telematica,415
333,2018/2019,5816,Roma San Raffaele - telematica,51
334,2018/2019,5817,Roma Link Campus,42
335,2018/2019,5818,Roma Saint Camillus,55
336,2018/2019,6001,Cassino,492
337,2018/2019,6201,Sannio,41
338,2018/2019,6202,Benevento Giustino Fortunato - telematica,9
339,2018/2019,6301,Napoli Federico II,576
340,2018/2019,6302,Napoli Parthenope,77
341,2018/2019,6303,Napoli L'Orientale,451
342,2018/2019,6304,Napoli Benincasa,37
343,2018/2019,6306,Napoli Vanvitelli,309
344,2018/2019,6307,Napoli Pegaso - telematica,364
345,2018/2019,6501,Salerno,407
346,2018/2019,6601,L'Aquila,552
347,2018/2019,6701,Teramo,122
348,2018/2019,6901,Chieti e Pescara,552
349,2018/2019,6902,Torrevecchia Teatina Leonardo da Vinci - telematica,1
350,2018/2019,7001,Molise,95
351,2018/2019,7101,Foggia,118
352,2018/2019,7201,Bari,641
353,2018/2019,7202,Bari Politecnico,117
354,2018/2019,7203,Casamassima - G.Degennaro,6
355,2018/2019,7501,Salento,164
356,2018/2019,7601,Basilicata,32
357,2018/2019,7801,Calabria,786
358,2018/2019,7901,Catanzaro,128
359,2018/2019,8001,Reggio Calabria,66
360,2018/2019,8003,Reggio Calabria - Dante Alighieri,146
361,2018/2019,8201,Palermo,403
362,2018/2019,8301,Messina,421
363,2018/2019,8601,Enna KORE,18
364,2018/2019,8701,Catania,303
365,2018/2019,9001,Sassari,276
366,2018/2019,9201,Cagliari,320
367,2017/2018,101,Torino,4366
368,2017/2018,102,Torino Politecnico,4164
369,2017/2018,201,Piemonte Orientale,809
370,2017/2018,401,Bra Scienze Gastronomiche,96
371,2017/2018,701,Aosta,60
372,2017/2018,1001,Genova,2970
373,2017/2018,1201,Castellanza LIUC,34
374,2017/2018,1202,Insubria,586
375,2017/2018,1301,Novedrate e-Campus - telematica,343
376,2017/2018,1501,Milano,3912
377,2017/2018,1502,Milano Politecnico,6676
378,2017/2018,1503,Milano Bocconi,1992
379,2017/2018,1504,Milano Cattolica,2036
380,2017/2018,1505,Milano IULM,211
381,2017/2018,1508,Milano San Raffaele,136
382,2017/2018,1509,Milano Bicocca,1923
383,2017/2018,1510,Rozzano (MI) Humanitas University,194
384,2017/2018,1601,Bergamo,1168
385,2017/2018,1701,Brescia,1003
386,2017/2018,1801,Pavia,1703
387,2017/2018,2101,Bolzano,543
388,2017/2018,2201,Trento,717
389,2017/2018,2301,Verona,1213
390,2017/2018,2701,Venezia Cà Foscari,1202
391,2017/2018,2702,Venezia Iuav,253
392,2017/2018,2801,Padova,2629
393,2017/2018,3001,Udine,873
394,2017/2018,3201,Trieste,1222
395,2017/2018,3401,Parma,1682
396,2017/2018,3601,Modena e Reggio Emilia,1370
397,2017/2018,3701,Bologna,6221
398,2017/2018,3801,Ferrara,1026
399,2017/2018,4101,Urbino,901
400,2017/2018,4201,Marche,692
401,2017/2018,4301,Macerata,435
402,2017/2018,4302,Camerino,667
403,2017/2018,4801,Firenze,3816
404,2017/2018,4804,Firenze IUL - telematica,8
405,2017/2018,5001,Pisa,1745
406,2017/2018,5201,Siena,1410
407,2017/2018,5202,Siena Stranieri,244
408,2017/2018,5401,Perugia,1327
409,2017/2018,5403,Perugia Stranieri,343
410,2017/2018,5601,Tuscia,218
411,2017/2018,5801,Roma La Sapienza,6808
412,2017/2018,5802,Roma Tor Vergata,1958
413,2017/2018,5803,Roma LUMSA,236
414,2017/2018,5805,Roma LUISS,159
415,2017/2018,5806,Roma Foro Italico,53
416,2017/2018,5807,Roma Tre,1498
417,2017/2018,5808,Roma Biomedico,12
418,2017/2018,5809,Roma UNINT,63
419,2017/2018,5810,Roma Marconi - telematica,170
420,2017/2018,5811,Roma UNITELMA - telematica,23
421,2017/2018,5812,Roma Europea,17
422,2017/2018,5813,Roma UNINETTUNO - telematica,409
423,2017/2018,5814,Roma  Mercatorum - telematica,37
424,2017/2018,5815,Roma UNICUSANO - telematica,359
425,2017/2018,5816,Roma San Raffaele - telematica,47
426,2017/2018,5817,Roma Link Campus,37
427,2017/2018,6001,Cassino,375
428,2017/2018,6201,Sannio,36
429,2017/2018,6202,Benevento Giustino Fortunato - telematica,5
430,2017/2018,6301,Napoli Federico II,487
431,2017/2018,6302,Napoli Parthenope,85
432,2017/2018,6303,Napoli L'Orientale,433
433,2017/2018,6304,Napoli Benincasa,50
434,2017/2018,6306,Napoli Vanvitelli,264
435,2017/2018,6307,Napoli Pegaso - telematica,147
436,2017/2018,6501,Salerno,324
437,2017/2018,6601,L'Aquila,565
438,2017/2018,6701,Teramo,103
439,2017/2018,6901,Chieti e Pescara,545
440,2017/2018,6902,Torrevecchia Teatina Leonardo da Vinci - telematica,2
441,2017/2018,7001,Molise,76
442,2017/2018,7101,Foggia,101
443,2017/2018,7201,Bari,669
444,2017/2018,7202,Bari Politecnico,104
445,2017/2018,7203,Casamassima - G.Degennaro,7
446,2017/2018,7501,Salento,170
447,2017/2018,7601,Basilicata,50
448,2017/2018,7801,Calabria,760
449,2017/2018,7901,Catanzaro,112
450,2017/2018,8001,Reggio Calabria,53
451,2017/2018,8003,Reggio Calabria - Dante Alighieri,156
452,2017/2018,8201,Palermo,320
453,2017/2018,8301,Messina,334
454,2017/2018,8601,Enna KORE,22
455,2017/2018,8701,Catania,279
456,2017/2018,9001,Sassari,232
457,2017/2018,9201,Cagliari,261
458,2016/2017,101,Torino,3871
459,2016/2017,102,Torino Politecnico,4103
460,2016/2017,201,Piemonte Orientale,738
461,2016/2017,401,Bra Scienze Gastronomiche,85
462,2016/2017,701,Aosta,62
463,2016/2017,1001,Genova,2746
464,2016/2017,1201,Castellanza LIUC,46
465,2016/2017,1202,Insubria,551
466,2016/2017,1301,Novedrate e-Campus - telematica,286
467,2016/2017,1501,Milano,3648
468,2016/2017,1502,Milano Politecnico,5874
469,2016/2017,1503,Milano Bocconi,1787
470,2016/2017,1504,Milano Cattolica,1904
471,2016/2017,1505,Milano IULM,204
472,2016/2017,1508,Milano San Raffaele,116
473,2016/2017,1509,Milano Bicocca,1896
474,2016/2017,1510,Rozzano (MI) Humanitas University,143
475,2016/2017,1601,Bergamo,1022
